27.929773, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:56
27.929775, -80.713523, altitude (ft): 11, sats: 12, UTC 20:33:57
27.929775, -80.713525, altitude (ft): 11, sats: 12, UTC 20:33:58
27.929775, -80.713527, altitude (ft): 11, sats: 12, UTC 20:33:59
27.929777, -80.713525, altitude (ft): 11, sats: 12, UTC 20:34:00
27.929773, -80.713523, altitude (ft): 11, sats: 12, UTC 20:34:10
27.929773, -80.713525, altitude (ft): 11, sats: 12, UTC 20:34:20
27.929777, -80.713527, altitude (ft): 11, sats: 12, UTC 20:34:30
27.929782, -80.713523, altitude (ft): 11, sats: 12, UTC 20:34:40
27.929777, -80.713525, altitude (ft): 12, sats: 12, UTC 20:34:50
27.929772, -80.713528, altitude (ft): 12, sats: 12, UTC 20:34:60
27.929773, -80.713523, altitude (ft): 12, sats: 12, UTC 20:34:70
27.929777, -80.713520, altitude (ft): 12, sats: 12, UTC 20:34:80
27.929778, -80.713518, altitude (ft): 12, sats: 12, UTC 20:34:90
27.929778, -80.713522, altitude (ft): 12, sats: 12, UTC 20:34:10
